Gregorian-Lunar Calendar Conversion Table of 2020 (Geng-zi  -  year of the Mouse)
Gregorian date    Lunar date              Day-of-week    Solar terms
2020/1/1          7                       Wednesday                          
2020/1/2          8                       Thursday                           
2020/1/3          9                       Friday                             
2020/1/4          10                      Saturday                           
2020/1/5          11                      Sunday                             
2020/1/6          12                      Monday         Moderate Cold       
2020/1/7          13                      Tuesday                            
2020/1/8          14                      Wednesday                          
2020/1/9          15                      Thursday                           
2020/1/10         16                      Friday                             
2020/1/11         17                      Saturday                           
2020/1/12         18                      Sunday                             
2020/1/13         19                      Monday                             
2020/1/14         20                      Tuesday                            
2020/1/15         21                      Wednesday                          
2020/1/16         22                      Thursday                           
2020/1/17         23                      Friday                             
2020/1/18         24                      Saturday                           
2020/1/19         25                      Sunday                             
2020/1/20         26                      Monday         Severe Cold         
2020/1/21         27                      Tuesday                            
2020/1/22         28                      Wednesday                          
2020/1/23         29                      Thursday                           
2020/1/24         30                      Friday                             
2020/1/25         1st Lunar Month         Saturday                           
2020/1/26         2                       Sunday                             
2020/1/27         3                       Monday                             
2020/1/28         4                       Tuesday                            
2020/1/29         5                       Wednesday                          
2020/1/30         6                       Thursday                           
2020/1/31         7                       Friday                             
2020/2/1          8                       Saturday                           
2020/2/2          9                       Sunday                             
2020/2/3          10                      Monday                             
2020/2/4          11                      Tuesday        Spring Commences    
2020/2/5          12                      Wednesday                          
2020/2/6          13                      Thursday                           
2020/2/7          14                      Friday                             
2020/2/8          15                      Saturday                           
2020/2/9          16                      Sunday                             
2020/2/10         17                      Monday                             
2020/2/11         18                      Tuesday                            
2020/2/12         19                      Wednesday                          
2020/2/13         20                      Thursday                           
2020/2/14         21                      Friday                             
2020/2/15         22                      Saturday                           
2020/2/16         23                      Sunday                             
2020/2/17         24                      Monday                             
2020/2/18         25                      Tuesday                            
2020/2/19         26                      Wednesday      Spring Showers      
2020/2/20         27                      Thursday                           
2020/2/21         28                      Friday                             
2020/2/22         29                      Saturday                           
2020/2/23         2nd Lunar Month         Sunday                             
2020/2/24         2                       Monday                             
2020/2/25         3                       Tuesday                            
2020/2/26         4                       Wednesday                          
2020/2/27         5                       Thursday                           
2020/2/28         6                       Friday                             
2020/2/29         7                       Saturday                           
2020/3/1          8                       Sunday                             
2020/3/2          9                       Monday                             
2020/3/3          10                      Tuesday                            
2020/3/4          11                      Wednesday                          
2020/3/5          12                      Thursday       Insects Waken       
2020/3/6          13                      Friday                             
2020/3/7          14                      Saturday                           
2020/3/8          15                      Sunday                             
2020/3/9          16                      Monday                             
2020/3/10         17                      Tuesday                            
2020/3/11         18                      Wednesday                          
2020/3/12         19                      Thursday                           
2020/3/13         20                      Friday                             
2020/3/14         21                      Saturday                           
2020/3/15         22                      Sunday                             
