Gregorian-Lunar Calendar Conversion Table of 2078 (Wu-xu  -  year of the Dog)
Gregorian date    Lunar date              Day-of-week    Solar terms
2078/6/27         18                      Monday                             
2078/6/28         19                      Tuesday                            
2078/6/29         20                      Wednesday                          
2078/6/30         21                      Thursday                           
2078/7/1          22                      Friday                             
2078/7/2          23                      Saturday                           
2078/7/3          24                      Sunday                             
2078/7/4          25                      Monday                             
2078/7/5          26                      Tuesday                            
2078/7/6          27                      Wednesday      Moderate Heat       
2078/7/7          28                      Thursday                           
2078/7/8          29                      Friday                             
2078/7/9          6th Lunar Month         Saturday                           
2078/7/10         2                       Sunday                             
2078/7/11         3                       Monday                             
2078/7/12         4                       Tuesday                            
2078/7/13         5                       Wednesday                          
2078/7/14         6                       Thursday                           
2078/7/15         7                       Friday                             
2078/7/16         8                       Saturday                           
2078/7/17         9                       Sunday                             
2078/7/18         10                      Monday                             
2078/7/19         11                      Tuesday                            
2078/7/20         12                      Wednesday                          
2078/7/21         13                      Thursday                           
2078/7/22         14                      Friday         Great Heat          
2078/7/23         15                      Saturday                           
2078/7/24         16                      Sunday                             
2078/7/25         17                      Monday                             
2078/7/26         18                      Tuesday                            
2078/7/27         19                      Wednesday                          
2078/7/28         20                      Thursday                           
2078/7/29         21                      Friday                             
2078/7/30         22                      Saturday                           
2078/7/31         23                      Sunday                             
2078/8/1          24                      Monday                             
2078/8/2          25                      Tuesday                            
2078/8/3          26                      Wednesday                          
2078/8/4          27                      Thursday                           
2078/8/5          28                      Friday                             
2078/8/6          29                      Saturday                           
2078/8/7          30                      Sunday         Autumn Commences    
2078/8/8          7th Lunar Month         Monday                             
2078/8/9          2                       Tuesday                            
2078/8/10         3                       Wednesday                          
2078/8/11         4                       Thursday                           
2078/8/12         5                       Friday                             
2078/8/13         6                       Saturday                           
2078/8/14         7                       Sunday                             
2078/8/15         8                       Monday                             
2078/8/16         9                       Tuesday                            
2078/8/17         10                      Wednesday                          
2078/8/18         11                      Thursday                           
2078/8/19         12                      Friday                             
2078/8/20         13                      Saturday                           
2078/8/21         14                      Sunday                             
2078/8/22         15                      Monday                             
2078/8/23         16                      Tuesday        End of Heat         
2078/8/24         17                      Wednesday                          
2078/8/25         18                      Thursday                           
2078/8/26         19                      Friday                             
2078/8/27         20                      Saturday                           
2078/8/28         21                      Sunday                             
2078/8/29         22                      Monday                             
2078/8/30         23                      Tuesday                            
2078/8/31         24                      Wednesday                          
2078/9/1          25                      Thursday                           
2078/9/2          26                      Friday                             
2078/9/3          27                      Saturday                           
2078/9/4          28                      Sunday                             
2078/9/5          29                      Monday                             
2078/9/6          8th Lunar Month         Tuesday                            
2078/9/7          2                       Wednesday      White Dew           
2078/9/8          3                       Thursday                           
2078/9/9          4                       Friday                             
2078/9/10         5                       Saturday                           
2078/9/11         6                       Sunday                             
2078/9/12         7                       Monday                             
2078/9/13         8                       Tuesday                            
2078/9/14         9                       Wednesday                          
2078/9/15         10                      Thursday                           
2078/9/16         11                      Friday                             
2078/9/17         12                      Saturday                           
2078/9/18         13                      Sunday                             
2078/9/19         14                      Monday                             
2078/9/20         15                      Tuesday                            
2078/9/21         16                      Wednesday                          
2078/9/22         17                      Thursday       Autumnal Equinox    
2078/9/23         18                      Friday                             
2078/9/24         19                      Saturday                           
2078/9/25         20                      Sunday                             
2078/9/26         21                      Monday                             
2078/9/27         22                      Tuesday                            
2078/9/28         23                      Wednesday                          
